20 20 100
  1  18  15  14  17  11  10   7   6   0   0   1   0   0   0   0   0   0   0   0
  4  18  18  15  18  16   7   2   2   0   0   0   0   0   0   0   0   0   0   0
  1   9  15  18  25  16   8   2   2   2   1   1   0   0   0   0   0   0   0   0
  9  12  23  20  10  13   5   5   0   1   1   1   0   0   0   0   0   0   0   0
  4  14  16  20  19  16   7   2   0   2   0   0   0   0   0   0   0   0   0   0
  6  17   7  21  18  18   5   3   3   2   0   0   0   0   0   0   0   0   0   0
  8  13  24  19   9  11   6   4   3   1   1   0   1   0   0   0   0   0   0   0
  5  10  22  21  12  16  10   1   3   0   0   0   0   0   0   0   0   0   0   0
  5  11  22  18  17  11   7   6   3   0   0   0   0   0   0   0   0   0   0   0
 10  19  17  15  16   9   5   6   3   0   0   0   0   0   0   0   0   0   0   0
  5  14  20  21  16  12   2   7   2   1   0   0   0   0   0   0   0   0   0   0
  7  10  17  22  19  12   4   4   3   1   1   0   0   0   0   0   0   0   0   0
  9  12  19  16  20  12   4   4   4   0   0   0   0   0   0   0   0   0   0   0
  3  10  14  22  15  16   9   5   5   1   0   0   0   0   0   0   0   0   0   0
  5   7  15  24  14  15  11   2   2   3   2   0   0   0   0   0   0   0   0   0
  8  12  15  17  14  12  11   8   1   1   1   0   0   0   0   0   0   0   0   0
  8  11  16  22  21  11   6   2   2   1   0   0   0   0   0   0   0   0   0   0
  6  16  19  15  19  16   3   2   2   0   0   0   2   0   0   0   0   0   0   0
 10  15  16  15  19   8   6   6   2   2   0   0   0   0   1   0   0   0   0   0
  8   8  23  16  14  13   9   7   1   1   0   0   0   0   0   0   0   0   0   0
